Workout Title,Category,Routine Link,Tables,Main Goal,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required,Target Gender,Recommended Supps
3 Day Workout Routine and Diet for Beginners,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/3-day-workout-routine-and-diet-for-beginners,"[{'title': 'Full Body Workout for Beginners', 'content': [[], ['Trap Bar Deadlift', '3', '3-5'], ['Bent Over Row', '3', '5-8'], ['Dumbbell Overhead Press', '3', '6-10'], ['Lat Pull Down', '3', '6-10'], ['Dumbbell Bicep Curl', '2', '10-12'], ['Rope Pressdown', '2', '10-12'], ['Plank', '2', 'Failure*']]}, {'title': 'Full Body Workout for Beginners', 'content': [[], ['Front Squats', '3', '3-5'], ['Romanian Deadlift', '3', '6-10'], [""Farmer's Carry"", '3', '45 Secs'], ['Dumbbell Row', '3', '10-15'], ['Incline Dumbbell Bench Press', '3', '8-12'], ['Calf Raise', '3', '15-20'], ['Dead Bugs', '2', '6-12 Each']]}, {'title': 'Full Body Workout for Beginners', 'content': [[], ['Bench Press', '3', '3-5'], ['Leg Press', '3', '6-10'], ['Leg Curl', '3', '8-12'], ['Lateral Raise', '3', '10-15'], ['Cable Row', '3', '8-12'], ['EZ Bar Curl', '2', '10-12'], ['Skullcrusher', '2', '10-12'], ['Pallof Press', '2', '6-12 Each']]}]",,,,,,,,,
Basketball Workouts: In-Season Workout Routine for Players,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/in-season-workout-routine-for-basketball-players,"[{'title': 'Day 1: In-Season Full Body Basketball Workout', 'content': [[], ['Dumbbell Split Squat', '2', '15'], ['(Assisted) Nordic Hamstring Curls', '2', '12-15'], ['Lateral Lunges', '2', '12-15'], ['Pull Ups', '2', 'AMRAP'], ['Push Ups', '2', 'AMRAP'], ['Banded Rear Delt Fly', '2', '15-20'], ['Banded Lateral Raise', '2', '15-20'], ['Plate Pinch', '2', '30 Secs'], ['Dead Bug', '2', '12-20 Each'], ['Plank', '2', 'Timed Failure']]}, {'title': 'Day 2: In-Season Full Body Basketball Workout', 'content': [[], ['Goblet Squat', '2', '15'], ['Exercise Ball Leg Curl', '2', '12-15'], ['One Leg Dumbbell Calf Raise', '2', '15-20'], ['Hip Adduction', '2', '15-20'], ['Cable Row', '2', '15'], ['Standing Dumbbell Press', '2', '15'], ['Dips', '2', 'AMRAP'], ['Plank', '2', 'Timed Failure'], ['Dead Bug', '2', '12-20 Each'], ['Med Ball Woodchoppers', '2', '15-20 Each']]}]",,,,,,,,,
3 Day (At Home) Women's Workout Routine,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/3-day-at-home-womens-workout,"[{'title': 'At Home Women’s Workout 1', 'content': [[], ['Bodyweight Squat', '3', '10'], ['Rear Bodyweight Lunge', '3', '10'], ['Single Leg Dumbbell Deadlift', '3', '6 Each'], ['Push Up', '3', '6-10'], ['Resistance Band Lat Pull Down', '3', '10'], ['Dumbbell Row', '3', '10'], ['Plank', '3', '30 Secs']]}, {'title': 'At Home Women’s Workout 2', 'content': [[], ['Resistance Band Deadlift', '3', '10'], ['Dumbbell Goblet Squat', '3', '10'], ['Glute Bridge', '3', '12'], ['Donkey Kicks', '3', '12 Each'], ['Resistance Band Row', '3', '10'], ['Dumbbell Shoulder Press', '3', '8-10'], ['Ab Crunch', '3', '15']]}, {'title': 'At Home Women’s Workout 3', 'content': [[], ['Push Up', '3', '6-10'], ['Dumbbell Lateral Raise', '3', '10'], ['Resistance Band Pull Down', '3', '10'], ['Dumbbell Row', '3', '10'], ['Bodyweight Squat', '3', '10'], ['Glute Bridge', '3', '15'], ['Side Planks', '3', '30 Secs Each']]}]",,,,,,,,,
Full Body Shock: An Intense Full Body Workout,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/full-body-shock-workout,"[{'title': 'Calves: Standing & Seated Calf Raises', 'content': [[], ['1. Lateral Raise', '3', '20, 15, 10'], ['2. Arnold Press', '3', '20, 15, 10'], ['3. Neutral Grip Lat Pull Down', '3', '20, 15, 10'], ['4. T-Bar Row', '3', '20, 15, 10'], ['5. Incline Dumbbell Press', '3', '20, 15, 10'], ['6. Cable Crossover', '3', '20, 15, 10'], ['7. Barbell Curl', '3', '20, 15, 10'], ['8. Hammer Curl', '3', '20, 15, 10'], ['9. Two Arm Overhead Extension', '3', '20, 15, 10'], ['10. Rope Pushdown', '3', '20, 15, 10'], ['11. Crunches', '3', '20'], ['12. Hyperextensions', '3', '20'], ['13. Leg Press', '3', '20, 15, 10'], ['14. Leg Extension', '3', '20, 15, 10'], ['15. Stiff Legged Deadlift', '3', '20, 15, 10'], ['16. Leg Curl', '3', '20, 15, 10'], ['17. Standing Calf Raise', '3', '20'], ['18. Seated Calf Raise', '3', '20']]}, {'title': 'Calves: Standing & Seated Calf Raises', 'content': [[], ['1a. Lateral Raise', '3', '12'], ['1b. Arnold Press', '3', '12'], ['2a. Neutral Grip Lat Pull Down', '3', '12'], ['2b. T-Bar Row', '3', '12'], ['3a.. Incline Dumbbell Press', '3', '12'], ['3b. Cable Crossover', '3', '12'], ['4a. Barbell Curl', '3', '15'], ['4b. Hammer Curl', '3', '15'], ['5a. Two Arm Overhead Extension', '3', '15'], ['5b. Rope Pushdown', '3', '15'], ['6a. Crunches', '3', '20'], ['6b. Hyperextensions', '3', '20'], ['7a. Leg Press', '3', '15'], ['7b. Leg Extension', '3', '15'], ['8a. Stiff Legged Deadlift', '3', '15'], ['8b. Leg Curl', '3', '15'], ['9a. Standing Calf Raise', '3', '20'], ['9b. Seated Calf Raise', '3', '20']]}]",,,,,,,,,
Tactical Tabata: 30 Day High-Intensity Workout,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/tactical-tabata,"[{'title': 'Workout 1 (Metabolic Monday) Total Body Workout', 'content': [[], ['A1. Jog', '3', '20 Sec/10 Sec'], ['A2. Squat w/ Knee Raise', '-', '-'], ['A3. Plank Shoulder Taps', '-', '-'], ['B1. Shoulder Tap Push Ups', '3', '-'], ['B2. Jump Squats', '-', '-'], ['C1. Hand Release Push Ups', '2', '-'], ['C2. Lunge Jumps', '-', '-'], ['C3. Diamond Push Ups', '-', '-'], ['C4. Pop Squats', '-', '-'], ['D1. Push Up to Burpee', '4', '-'], ['D2. High Low Plank', '-', '-'], ['E1. Low Plank Hold', '2', '-'], ['E2. Squat Hold', '-', '-'], ['E3. Lunge Hold', '-', '-'], ['F1. Frog Jumps', '4', '-'], ['F2. Knee Push Up to High Plank', '-', '-'], ['G1. Push Ups', '2 Min', '5 Reps'], ['G2. Squats', '-', '5 Reps'], ['G3. High Low Planks', '-', '5 Reps'], ['G4. Squat Thrust', '-', '5 Reps']]}, {'title': 'Workout 2 (Turbo Tuesday) Cardio Conditioning', 'content': [[], ['A1. Walk Outs to Shoulder Taps', '3', '20 Sec/10 Sec'], ['A2. Half Jacks', '-', '-'], ['A3. Hop Squats', '-', '-'], ['B1. Plank Jacks to In-Out Abs', '4', '-'], ['B2. Standing Jacks to Vertical Jumps', '-', '-'], ['C1. Mountain Climbers', '2', '-'], ['C2. High Knees', '-', '-'], ['C3. 2 Squats to Jump Squats', '-', '-'], ['C4. 2 Wide Pike Ups to Burpees', '-', '-'], ['D1. Butt Kicks', '4', '-'], ['D2. Plank Butt Kicks', '-', '-'], ['E1. High Low Plank', '2', '-'], ['E2. Hop Squat', '-', '-'], ['E3. Chest Opener Jacks', '-', '-'], ['E4. Plank Arm and Leg Jacks', '-', '-'], ['F1. Ski Abs', '4', '-'], ['F2. Ski Jumps', '-', '-'], ['G1. Plank Jacks', '2 Min', '5 Reps'], ['G2. Jump Squats', '-', '5 Reps'], ['G3. Butt Kicks', '-', '5 Reps'], ['G4. Ski Jump', '-', '5 Reps']]}, {'title': 'Workout 3 (Wild Out Wednesdays) Legs & Abs', 'content': [[], ['A1. Squats', '3', '20 Sec/10 Sec'], ['A2. Jog', '-', '-'], ['A3. Lunges', '-', '-'], ['B1. 2 Squat Pulses to Squat', '2', '-'], ['B2. 2 Squat Pulses to Jump Squats', '-', '-'], ['B3. Squat Pulses', '-', '-'], ['B4. 2 Squat Pulses to Side to Side Hops', '-', '-'], ['C1. Leg Raises', '2', '-'], ['C2. Flutter Kicks', '-', '-'], ['C3. Leg Crosses', '-', '-'], ['C4. Six Inch Holds', '-', '-'], ['D1. Alternating Lunge Pulses', '2', '-'], ['D2. Lunge Jumps', '-', '-'], ['D3. Pop Lunge', '-', '-'], ['D4. Split Squat Jumps', '-', '-'], ['E1. Low Plank', '2', '-'], ['E2. High Plank', '-', '-'], ['E3. Side Plank', '-', '-'], ['E4. Plank Toe Taps', '-', '-'], ['F1. Lunge Squat', '2', '-'], ['F2. Lunge, Lunge, Squat', '-', '-'], ['F3. Lunge, Lunge, Floor Touch, Squat', '-', '-'], ['F4. Jane Fonda', '-', '-'], ['G1. Squats', '2 Min', '5 Reps'], ['G2. Leg Raise', '-', '5 Reps'], ['G3. Lunges', '-', '5 Reps'], ['G4. Calf Raise', '-', '5 Reps']]}, {'title': 'Workout 4: (Turned Up Thursday) Upper Body Workouts', 'content': [[], ['A1. Plank Taps', '3', '20 Sec/10 Sec'], ['A2. Jog', '-', '-'], ['A3. Arm Circles', '-', '-'], ['B1. Push Up w/ Row', '2', '-'], ['B2. Push Ups', '-', '-'], ['B3. Balance Row', '-', '-'], ['B4. Back Extension to Push Up', '-', '-'], ['C1. Half Sits', '2', '-'], ['C2. Leg Crosses', '-', '-'], ['C3. Plank Knee Crunch', '-', '-'], ['C4. Plank Punches', '-', '-'], ['D1. Push Ups to Punches', '2', '-'], ['D2. Diamond Push Ups', '-', '-'], ['D3. Plank Shoulder Taps', '-', '-'], ['D4. Tricep Dips', '-', '-'], ['E1. Oblique Twist', '2', '-'], ['E2. Tuck Ins', '-', '-'], ['E3. Bicycle Crunch', '-', '-'], ['E4. Crunch', '-', '-'], ['F1. Hand Release Push Ups', '2', '-'], ['F2. Plank Shrugs', '-', '-'], ['F3. Military Press', '-', '-'], ['F4. Slow to Explosive Push Up', '-', '-'], ['G1. Push Ups', '2 Mins', '5 Reps'], ['G2. Bicycle Crunch', '-', '5 Reps'], ['G3. High Knees', '-', '5 Reps']]}, {'title': 'Workout 5 (Fired Up Friday) Cardio 2', 'content': [[], ['A1. Jumping Jacks', '3', '20 Sec/10 Sec'], ['A2. Hollow Man', '-', '-'], ['A3. Heel Taps', '-', '-'], ['B1. Burpee', '4', '-'], ['B2. 180* Jump Squats', '-', '-'], ['B3. Suicide Runs', '-', '-'], ['B4. Jack Squats', '-', '-'], ['C1. Fast Feet', '4', '-'], ['C2. Push Ups', '-', '-'], ['C3. Knee Touch Jump Squats', '-', '-'], ['C4. Mountain Climbers', '-', '-'], ['D1. Speed Skater', '2', '-'], ['D2. Pop Squats', '-', '-'], ['D3. In-Out Abs to Burpee', '-', '-'], ['D4. Butt Kicks', '-', '-'], ['E1. Low Plank to Shoulder Tap', '2', '-'], ['E2. Superman', '-', '-'], ['E3. Crunches', '-', '-'], ['E4. Low Crunch', '-', '-'], ['F1. T Push Ups', '4', '-'], ['F2. Downward Dog to Plank Punches', '-', '-'], ['F3. Pop Side Lunges Alternating', '-', '-'], ['F4. Squats', '-', '-'], ['Plank', '2 Min', 'N/A']]}, {'title': 'Workout 6 (Super Saturdays) Strength Workout w/ Chair', 'content': [[], ['A1. Side to Side Squats', '3', '20 Sec/10 Sec'], ['A2. Jogs', '-', '-'], ['A3. Jack Punches', '-', '-'], ['B1. Heel Elevated Split Squats', '2', '-'], ['B2. Heel Elevated Split Squat Jumps', '-', '-'], ['B3. Heel Elevated Split Squat Pulses', '-', '-'], ['B4. Split Squat Pulses', '-', '-'], ['C1. Elevated Push Ups', '2', '-'], ['C2. Incline Push Ups', '-', '-'], ['C3. Push Ups to Chair Taps', '-', '-'], ['C4. Push Up Hold', '-', '-'], ['D1. Chair Step Up', '2', '-'], ['D2. Chair Squat', '-', '-'], ['D3. Chair Squat Jumps', '-', '-'], ['D4. Squat Hold', '-', '-'], ['E1. Feet Elevated Plank', '2', '-'], ['E2. Chair Plank', '-', '-'], ['E3. Chair Knee Ups', '-', '-'], ['E4. Chair Crunch', '-', '-'], ['F1. 4 Chair Jacks, 4 Standing Jacks', '2', '-'], ['F2. 4 Chair High Knees, 4 High Knees', '-', '-'], ['F3. 4 Chair Knee Ups, 4 Tuck Jumps', '-', '-'], ['F4. 4 Chair Punches, 4 Squat Punches', '-', '-'], ['G1. High Knees', '2 Mins', '10 Reps'], ['G2. Push Ups', '-', '10 Reps'], ['G3. Mountain Climbers', '-', '10 Reps'], ['Stiff Leg Deadlift', '4', '25']]}]",,,,,,,,,
300 Workout: The Rise Of A New You! A Plan To Get Muscular & Ripped,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/300-rise-new-you-workout-muscular-ripped,"[{'title': 'Intermediate 230 - 230 total reps', 'content': [[], ['300 Workout'], ['Exercise', 'Reps'], ['Dynamic warm-up complex', ''], ['Barbell clean and press', '15'], ['Pull-ups', '25'], ['Split squat jumps', '30'], ['Feet-elevated push-ups', '30'], ['Hanging leg raises or lying leg raises', '40'], ['Two-arm kettlebell swing', '40'], ['30-50 yard sprint or sled push', ''], ['Perform the complex for one to three rounds', '']]}, {'title': 'Intermediate 230 - 230 total reps', 'content': [[], ['300 Workout'], ['Exercise', 'Reps'], ['Dynamic warm-up complex', ''], ['One-arm kettlebell or dumbbell clean and press', '15'], ['Barbell deadlifts', '20'], ['Box jumps', '30'], ['Renegade rows', '20'], ['Mountain climbers', '30'], ['Goblet squats', '20'], ['Inverted rows', '20'], ['2 minute jog', ''], ['Perform the complex for one to three rounds', '']]}, {'title': 'Intermediate 230 - 230 total reps', 'content': [[], ['300 Workout'], ['Exercise', 'Reps'], ['Dynamic warm-up complex', ''], ['One-arm kettlebell or dumbbell push press', '15'], ['Reverse-grip chin-ups', '25'], ['Walking lunges', '15 Each Leg'], ['Close-Grip push-ups', '30'], ['Floor wipers', '40'], ['Barbell upright row', '40'], ['30-50 yard sprint or sled push', ''], ['Perform the complex for one to three rounds', '']]}, {'title': 'Intermediate 230 - 230 total reps', 'content': [[], ['300 Workout'], ['Exercise', 'Reps'], ['Dynamic warm-up complex', ''], ['Kettlebell or dumbbell deadlifts', '20'], ['Two-arm kettlebell or dumbbell clean and press', '15'], ['Bench step-ups', '30'], ['Inverted rows', '20'], ['Floor leg raise/crunch combo', '15 Each'], ['Barbell squats', '20'], ['Push-ups on dumbbells', '20'], ['2 minute jog', ''], ['Perform the complex for one to three rounds', '']]}]",,,,,,,,,
Full Body Workout Program for Tall Guys,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/full-body-workout-program-for-tall-guys,"[{'title': 'Day 1: Full Body Workout for Tall Guys', 'content': [[], ['1. Trap Bar Deadlift', '5', '12, 10, 8, 5, 5'], ['2. Neutral Grip Dumbbell Bench Press', '4', '8-12'], ['3. Z Press', '3', '8-12'], ['4. Wide Grip Bent Over Row', '3', '12'], ['5. Close Grip Chin Up', '3', 'Mechanical Failure']]}, {'title': 'Day 2: Full Body Workout for Tall Guys', 'content': [[], ['1. Front Squat', '5', '12, 10, 8, 5, 5'], ['2. Landmine Romanian Deadlift', '4', '8-12'], ['3. Incline Bench Press', '3', '8-12'], ['4. Cable Face Pulls', '3', '8-12'], ['5. Farmers Carry', '3', '20 Yards']]}, {'title': 'Day 3: Full Body Workout for Tall Guys', 'content': [[], ['1. Standing Military Press', '5', '12, 10, 8, 5, 5'], ['2. Goblet Squat', '4', '8-12'], ['3. Barbell Hip Thrust', '3', '8-12'], ['4. Wide Grip Inverted Row', '3', '12-15'], ['5. Push Up', '3', '12-15']]}]",,,,,,,,,
The Conditioning Comeback: 8 Week Total Body Fitness Workout,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/conditioning-comeback-8-week-conditioning-workout,"[{'title': 'The Conditioning Comeback Day 1: Lower Body', 'content': [[], ['Goblet Squat', '*', '100'], ['Dumbbell Lunge', '*', '100 (50 each)'], ['Banded Good Morning', '*', '100'], ['Lying Leg Raise', '*', '100'], ['Dumbbell Farmer’s Walk', '*', '100'], ['* As few sets as possible']]}, {'title': 'The Conditioning Comeback Day 2: Upper Body', 'content': [[], ['Dumbbell Floor Press', '*', '100'], ['Dumbbell Pullover', '*', '100'], ['Banded Lateral Raise', '*', '100'], ['Hammer Curl', '*', '100 (50 each)'], ['Close Grip Pushup', '*', '100'], ['* As few sets as possible']]}, {'title': 'The Conditioning Comeback Day 3: Full Body', 'content': [[], ['Goblet Squat', 'AMRAP', '5 Minutes'], ['Dumbbell Lunge', 'AMRAP', '5 Minutes'], ['Dumbbell Floor Press', 'AMRAP', '5 Minutes'], ['Dumbbell Pullover', 'AMRAP', '5 Minutes'], ['Hammer Curl', 'AMRAP', '5 Minutes'], ['Lying Leg Raise', 'AMRAP', '5 Minutes'], ['AMRAP = As Many Reps As Possible']]}]",,,,,,,,,
The Cardio-Free Fat Burning Workout Program,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/the-cardio-free-fat-burning-workout-program,"[{'title': 'Workout A: The Fast and Furious Body Fat Burner', 'content': [[], ['Barbell Squats', '3', '13-15'], ['Alternating Barbell Lunge', '3', '13-15'], ['Stiff Leg Deadlift', '3', '13-15'], ['Burpees', '3', '13-15'], ['Underhand Grip Barbell Bent Row', '3', '10-12'], ['Close Grip Push Ups', '3', '10-12'], ['Standing Military Press', '3', '10-12'], ['Close Underhand Grip Pull Up', '2', 'Max Reps'], ['Bicycle Crunch', '3', '16-20 Each']]}, {'title': 'Workout B: The Lower Body/Upper Body Superset Scorcher', 'content': [[], ['A1. Hack Squats', '3', '13-15'], ['A2. Push Ups', '3', '10-12'], ['B1. Leg Press', '3', '12-15'], ['B2. Wide Grip Pull Up', '3', '10-12'], ['C1. Long Jumps', '3', '13-15'], ['C2. Seated Dumbbell Press', '3', '10-12'], ['D1. Good Morning', '2', '12-15'], ['D2. Standing Alternating Dumbbell Curl', '2', '10-12'], ['E1. Standing Broomstick Twists', '3', '21-25 Each'], ['E2. Bench Dips', '3', '10-12']]}, {'title': 'Workout C: The Fat Incinerator Circuit', 'content': [[], ['Deadlift', '3 Rounds', '12-15'], ['Incline Dumbbell Press', '-', '10-12'], ['Box Jumps', '-', '13-15'], ['One Arm Dumbbell Row', '-', '10-12'], ['Walking Lunge', '-', '13-15 Each'], ['Wide Grip Barbell Upright Row', '-', '10-12'], ['Lying Leg Curl', '-', '12-15'], ['Skullcrusher', '-', '10-12'], ['Hanging Straight Leg Raise', '-', '16-20'], ['V Handle Grip Pull Up', '-', 'Max Reps']]}]",,,,,,,,,
Scarlett Johansson Inspired Workout Routine: Train Like Black Widow,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/scarlett-johansson-workout-program,"[{'title': 'Scarlett Johansson Workout Day 1: Full Body Strength Training', 'content': [[], ['1. Barbell Back Squat', '5', '8, 8, 8, 5, 3'], ['2. Military Press', '5', '8, 8, 8, 5, 3'], ['3. Barbell Lunge', '3', '12 Each'], ['4. Chin Up', '3', '12, 10, 8'], ['5. Dumbbell Row', '3', '12, 10, 8']]}, {'title': 'Scarlett Johansson Workout Day 2: Full Body Fat Loss Circuit', 'content': [[], ['1. Treadmill Warm Up', '1', '15 Mins*'], ['2a. Push Up', '5', '5'], ['2b. Air Squat', '5', '8'], ['2c. Pull Up', '5', '3'], ['2d. Lateral Lunge', '5', '5 Each'], ['2e. Bicep Curl', '5', '5'], ['2f. Tricep Pushdown', '5', '5'], ['3. Jump Rope', '1', '10 Mins**'], ['4a. Medicine Ball Slams', '5', '5'], ['4b. Wall Balls', '5', '5'], ['4c. Medicine Ball Oblique Toss', '5', '5 Each'], ['4d. Medicine Ball Front Squat', '5', '5'], ['4e. Medicine Ball Chest Pass', '5', '5'], ['5. LISS Cool Down', '1', '5 Mins***']]}, {'title': 'Scarlett Johansson Workout Day 4: Full Body Strength Training', 'content': [[], ['1. Trap Bar Deadlift', '5', '8, 8, 8, 5, 3'], ['2. Barbell Bench Press', '5', '8, 8, 8, 5, 3'], ['3. Bulgarian Split Squat', '3', '12 Each'], ['4. Inverted Row', '3', '12'], ['5. Hip Thrust', '3', '12, 10, 8']]}, {'title': 'Scarlett Johansson Workout Day 6: Full Body Fat Loss Circuit', 'content': [[], ['1. Treadmill Warm Up', '1', '15 Mins*'], ['2a. Kettlebell Row', '5', '5 Each'], ['2b. Kettlebell Swing', '5', '5'], ['2c. Kettlebell Press', '5', '5 Each'], ['2d. Kettlebell Romanian Deadlift', '5', '5'], ['2e. Kettlebell Goblet Squat', '5', '5'], ['3. Water Rowing Machine', '1', '10 Mins**'], ['4a. Dumbbell Curl', '5', '5'], ['4b. Dumbbell Squat', '5', '5'], ['4c. Dumbbell Overhead Extension', '5', '5'], ['4d. Dumbbell Squat', '5', '5'], ['4e. Dumbbell Hammer Curl', '5', '5'], ['4f. Dumbbell Squat', '5', '5'], ['4g. Dumbbell Kickback', '5', '5'], ['5. LISS Cool Down', '1', '5 Mins***']]}]",,,,,,,,,
The Calorie Destroyer: 12 Week Full Body HIIT Workout and Meal Plan,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/calorie-destroyer-12-week-hiit-workout,"[{'title': '12 Week Full Body HIIT Workout', 'content': [[], ['Dumbbell Pullover on the Floor or Bench', '3', 'AMRAP 30-60s'], ['Push Ups', '3', 'AMRAP 30-60s'], ['Squat Jumps', '3', 'AMRAP 30-60s'], ['Kettlebell Swings', '3', 'AMRAP 30-60s'], ['Mountain Climbers', '3', 'AMRAP 30-60s'], ['Burpees', '3', 'AMRAP 30-60s'], ['Dumbbell Farmers Carry', '3', 'AMRAP 30-60s']]}]",,,,,,,,,
Jai Courtney Workout: How Jai Got Swole for Terminator Genisys,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/jai-courtney-workout-terminator-genisys,"[{'title': 'Real Food', 'content': [[], ['Diamond Push-Up', '3-6', '10-20'], ['Inverted Row', '3-6', '10-20'], ['Bodyweight Bulgarian Split Squat', '3-6', '10-20'], ['Floor Crunch', '3-6', '10-20'], ['Jump Squat', '3-6', '10-20']]}, {'title': 'Real Food', 'content': [[], ['Diamond Push-Up', '3-6', '10-20'], ['Medium-Grip Chin-Up', '3-6', '10-20'], ['Box Jump', '3-6', '10-20'], ['Pike Push-Up', '3-6', '10-20'], ['Hanging Leg Lift', '3-6', '10-20']]}, {'title': 'Real Food', 'content': [[], ['Feet Elevated Inverted Row', '3-6', '10-20'], ['TRX Push-Up', '3-6', '10-20'], ['V-Ups', '3-6', '10-20'], ['Walking Lunge', '3-6', '10-20'], ['Goblet Squat', '3-6', '10-20']]}, {'title': 'Real Food', 'content': [[], ['Dumbbell Deadlift', '3-6', '10-20'], ['Depth Push-Up', '3-6', '10-20'], ['TRX Row', '3-6', '10-20'], ['Single-Leg TRX Squat', '3-6', '10-20'], ['Planks', '3-6', '20 sec']]}]",,,,,,,,,
Chadwick Boseman Inspired Workout: Train Like Black Panther,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/chadwick-boseman-workout-program,"[{'title': 'Chadwick Boseman Workout Day 1: Full Body Strength Circuit', 'content': [[], ['1. Deadlift', '3-5', '6-8'], ['2a. Push Up', '3-5', '8-15'], ['2b. Bodyweight Walking Lunge', '3-5', 'Distance'], ['2c. Pull Up', '3-5', '8-15'], ['2d. Dumbbell Overhead Press', '3-5', '6-8'], ['2e. Plank', '3-5', '20 Secs']]}, {'title': 'Chadwick Boseman Workout Day 3: Full Body Strength Circuit', 'content': [[], ['1. Bent Over Row', '3-5', '6-8'], ['2a. Air Squat', '3-5', '8-15'], ['2b. Dip', '3-5', '8-15'], ['2c. Chin Up', '3-5', '8-15'], ['2d. Push Up', '3-5', '8-15'], ['2e. Ab Crunch', '3-5', '8-15']]}, {'title': 'Chadwick Boseman Workout Day 5: Full Body Strength Circuit', 'content': [[], ['1. Squat', '3-5', '6-8'], ['2a. Dumbbell Bench Press', '3-5', '6-8'], ['2b. Lateral Raise', '3-5', '8-15'], ['2c. Step Ups', '3-5', '8-15'], ['2d. Band Pull Apart', '3-5', '8-15'], ['2e. Leg Raises', '3-5', '8-15'], ['3. 10-15 min Freestyle*', '-', '-']]}]",,,,,,,,,
2 Day Intense Fat Loss & Muscle Tone Workout,https://www.muscleandstrength.com/workouts/full-body,https://www.muscleandstrength.com/workouts/2-day-intense-workout.html,"[{'title': 'Day 1', 'content': [[], ['Sandbag Situps', '1', '50'], ['Oblique Crunches (each side)', '1', '30'], ['X Lunges holding dumbbells', '1', '30 each leg'], ['Cardio (Eliptical or Tredmill)', '1', '5 min'], ['Preacher Curl (machine or free weight)', '1', '30'], ['Seated Calf Raises', '1', '30-50'], ['Jumping Lunges', '1', '30 each leg'], ['Cardio (Eliptical or Tredmill)', '1', '5 min'], ['Shoulder Press Machine', '1', '30'], ['Tricep Machine', '1', '30'], ['Seated Leg Curls', '1', '30'], ['Cardio (Eliptical or Tredmill)', '1', '5 min'], ['Inner Leg Machine', '1', '30-50'], ['Assisted Pull Ups', '1', '30'], ['Lunges', '1', '30'], ['Cardio (Eliptical or Tredmill)', '1', '5 min'], ['Leg Raises', '1', '30'], ['Jump Rope', '1', '1.5mins'], ['Smith Machine Pull Ups', '1', '30'], ['Cardio (Eliptical or Tredmill)', '1', '5 min'], ['Mountain Climbers', '1', '30'], ['Push Ups on Smith Machine Barbell', '1', '30'], ['Outer Leg Raises on Mat', '1', '30 each leg'], ['Butt Kicks (weighted)', '1', '50 each leg']]}, {'title': 'Day 2', 'content': [[], ['Knee Raise', '1', '30'], ['Rope Tricep Push down', '1', '20-30'], ['Seated Rows', '1', '20-30'], ['Cardio (Eliptical or Tredmill)', '1', '5 min'], ['Outer Leg Machine', '1', '30'], ['Leg Press', '1', '20-30'], ['Standing Calf Raises', '1', '30'], ['Cardio (Eliptical or Tredmill)', '1', '5 min'], ['Static Crunch', '1', '1.5mins'], ['Seated Ball Dumbbell Shoulder Press', '1', '20-30'], ['Leg Extensions', '1', '20-30'], ['Cardio (Eliptical or Tredmill)', '1', '5 min'], ['Muffin Tops', '1', '30 each side'], ['Lat Pull Down', '1', '20-30'], ['Ball Chest Flys', '1', '20-30'], ['Cardio (Eliptical or Tredmill)', '1', '5 min'], ['Rope Upright Rows', '1', '20-30'], ['Standing on One Foot Hammer Curls', '1', '10 each foot'], ['Dumbbell Lat Raises', '1', '20-30'], ['Cardio (Eliptical or Tredmill)', '1', '5 min'], ['Hyper-Extension', '1', '30'], ['Plank (Hover)', '1', 'To failure'], ['Fireman Butt Kicks', '1', '50 per leg']]}]",,,,,,,,,
,,,,Lose Fat,Split,Advanced,8 weeks,5,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Protein Powder, Fish Oil, Multivitamin, Fat Burner (Optional), Pre-Workout (Optional)"
,,,,Lose Fat,Split,Intermediate,10 weeks,7,60-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Female,"Whey Protein Isolate, Women's Multi, Fish Oil, Fat Burner (optional)"
,,,,Lose Fat,Split,Intermediate,6 weeks,4,45-70 minutes,"Bands, Barbell, Cables, Dumbbells, Other",Male & Female,"Whey Protein, Multivitamin, Fat Burner (optional)"
,,,,Lose Fat,Split,Intermediate,10 weeks,5,45-60 minutes,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Male & Female,
